UNEMP,INTRATE,GDP,CPI,HPI_Tag,YEAR,COUNTRY
"(-0.12, -0.056]","(-0.13, -0.059]","(0.2, 0.43]","(0.0063, 0.15]",1.0,2002,Italy
"(-0.41000000000000003, -0.12]","(-0.059, 0.029]","(-0.96, 0.2]","(-0.14, 0.0063]",1.0,2003,Italy
"(-0.12, -0.056]","(-0.13, -0.059]","(-0.96, 0.2]","(-0.14, 0.0063]",1.0,2004,Italy
"(-0.056, 0.043]","(-0.13, -0.059]","(0.2, 0.43]","(0.0063, 0.15]",1.0,2005,Italy
"(-0.41000000000000003, -0.12]","(0.029, 0.6]","(0.43, 0.66]","(-0.14, 0.0063]",1.0,2006,Italy
"(-0.12, -0.056]","(0.029, 0.6]","(-0.96, 0.2]","(0.0063, 0.15]",1.0,2007,Italy
"(0.043, 0.76]","(0.029, 0.6]","(-0.96, 0.2]","(0.0063, 0.15]",0.0,2008,Italy
"(0.043, 0.76]","(-0.53, -0.13]","(-0.96, 0.2]","(-0.78, -0.14]",0.0,2009,Italy
"(-0.056, 0.043]","(0.029, 0.6]","(0.43, 0.66]","(0.15, 0.97]",1.0,2010,Italy
"(0.043, 0.76]","(0.029, 0.6]","(-0.96, 0.2]","(0.15, 0.97]",1.0,2011,Italy
"(0.043, 0.76]","(-0.53, -0.13]","(-0.96, 0.2]","(-0.78, -0.14]",0.0,2012,Italy
"(0.043, 0.76]","(-0.53, -0.13]","(-0.96, 0.2]","(-0.78, -0.14]",0.0,2013,Italy
"(0.043, 0.76]","(-0.53, -0.13]","(-0.96, 0.2]","(-0.78, -0.14]",0.0,2014,Italy
"(-0.41000000000000003, -0.12]","(-0.53, -0.13]","(0.2, 0.43]","(0.0063, 0.15]",0.0,2015,Italy
"(0.043, 0.76]","(0.029, 0.6]","(0.2, 0.43]","(-0.14, 0.0063]",1.0,2016,Italy
"(-0.41000000000000003, -0.12]","(0.029, 0.6]","(0.43, 0.66]","(0.15, 0.97]",0.0,2017,Italy
"(-0.12, -0.056]","(0.029, 0.6]","(-0.96, 0.2]","(0.0063, 0.15]",0.0,2018,Italy
"(-0.41000000000000003, -0.12]","(-0.53, -0.13]","(-0.96, 0.2]","(-0.78, -0.14]",1.0,2019,Italy
"(-0.056, 0.043]","(-0.059, 0.029]","(0.66, 1.25]","(0.0063, 0.15]",0.0,2000,Japan
"(0.043, 0.76]","(-0.13, -0.059]","(-0.96, 0.2]","(-0.14, 0.0063]",0.0,2001,Japan
"(-0.056, 0.043]","(-0.13, -0.059]","(0.2, 0.43]","(0.0063, 0.15]",0.0,2002,Japan
"(-0.12, -0.056]","(0.029, 0.6]","(0.43, 0.66]","(0.0063, 0.15]",0.0,2003,Japan
"(-0.41000000000000003, -0.12]","(-0.059, 0.029]","(0.2, 0.43]","(0.15, 0.97]",0.0,2004,Japan
"(-0.056, 0.043]","(-0.059, 0.029]","(0.43, 0.66]","(-0.78, -0.14]",0.0,2005,Japan
"(-0.12, -0.056]","(0.029, 0.6]","(0.2, 0.43]","(0.15, 0.97]",0.0,2006,Japan
"(-0.056, 0.043]","(-0.059, 0.029]","(0.2, 0.43]","(0.0063, 0.15]",0.0,2007,Japan
"(0.043, 0.76]","(-0.059, 0.029]","(-0.96, 0.2]","(0.0063, 0.15]",0.0,2008,Japan
"(0.043, 0.76]","(-0.059, 0.029]","(-0.96, 0.2]","(-0.78, -0.14]",0.0,2009,Japan
"(-0.056, 0.043]","(-0.13, -0.059]","(0.66, 1.25]","(0.15, 0.97]",1.0,2010,Japan
"(-0.41000000000000003, -0.12]","(-0.059, 0.029]","(-0.96, 0.2]","(-0.14, 0.0063]",0.0,2011,Japan
"(-0.12, -0.056]","(-0.13, -0.059]","(-0.96, 0.2]","(0.0063, 0.15]",0.0,2012,Japan
"(-0.12, -0.056]","(-0.059, 0.029]","(0.66, 1.25]","(0.15, 0.97]",1.0,2013,Japan
"(-0.12, -0.056]","(-0.059, 0.029]","(-0.96, 0.2]","(0.15, 0.97]",1.0,2014,Japan
"(-0.056, 0.043]","(-0.059, 0.029]","(0.2, 0.43]","(-0.78, -0.14]",1.0,2015,Japan
"(-0.12, -0.056]","(-0.13, -0.059]","(0.2, 0.43]","(0.0063, 0.15]",1.0,2016,Japan
"(-0.12, -0.056]","(-0.059, 0.029]","(0.43, 0.66]","(0.0063, 0.15]",1.0,2017,Japan
"(-0.12, -0.056]","(-0.059, 0.029]","(-0.96, 0.2]","(0.0063, 0.15]",1.0,2018,Japan
"(-0.056, 0.043]","(-0.059, 0.029]","(-0.96, 0.2]","(-0.14, 0.0063]",1.0,2019,Japan
"(-0.41000000000000003, -0.12]","(-0.13, -0.059]","(0.43, 0.66]","(-0.14, 0.0063]",1.0,2000,United Kingdom
"(-0.12, -0.056]","(-0.13, -0.059]","(0.66, 1.25]","(-0.14, 0.0063]",1.0,2001,United Kingdom
"(-0.056, 0.043]","(-0.059, 0.029]","(0.43, 0.66]","(0.0063, 0.15]",1.0,2002,United Kingdom
"(-0.12, -0.056]","(0.029, 0.6]","(0.66, 1.25]","(-0.14, 0.0063]",1.0,2003,United Kingdom
"(-0.056, 0.043]","(-0.13, -0.059]","(0.2, 0.43]","(0.0063, 0.15]",1.0,2004,United Kingdom
"(0.043, 0.76]","(-0.13, -0.059]","(0.66, 1.25]","(0.15, 0.97]",1.0,2005,United Kingdom
"(0.043, 0.76]","(0.029, 0.6]","(0.2, 0.43]","(0.0063, 0.15]",1.0,2006,United Kingdom
"(-0.12, -0.056]","(0.029, 0.6]","(0.66, 1.25]","(-0.14, 0.0063]",1.0,2007,United Kingdom
"(0.043, 0.76]","(-0.53, -0.13]","(-0.96, 0.2]","(0.15, 0.97]",0.0,2008,United Kingdom
"(0.043, 0.76]","(-0.13, -0.059]","(-0.96, 0.2]","(-0.78, -0.14]",1.0,2009,United Kingdom
"(-0.056, 0.043]","(-0.13, -0.059]","(0.43, 0.66]","(0.15, 0.97]",1.0,2010,United Kingdom
"(0.043, 0.76]","(-0.53, -0.13]","(0.2, 0.43]","(0.15, 0.97]",0.0,2011,United Kingdom
"(-0.41000000000000003, -0.12]","(-0.53, -0.13]","(0.2, 0.43]","(-0.78, -0.14]",1.0,2012,United Kingdom
"(-0.41000000000000003, -0.12]","(0.029, 0.6]","(0.66, 1.25]","(-0.14, 0.0063]",1.0,2013,United Kingdom
"(-0.41000000000000003, -0.12]","(-0.53, -0.13]","(0.43, 0.66]","(-0.78, -0.14]",1.0,2014,United Kingdom
"(-0.41000000000000003, -0.12]","(-0.059, 0.029]","(0.43, 0.66]","(-0.78, -0.14]",1.0,2015,United Kingdom
"(-0.12, -0.056]","(-0.53, -0.13]","(0.43, 0.66]","(0.15, 0.97]",1.0,2016,United Kingdom
"(-0.12, -0.056]","(-0.059, 0.029]","(0.2, 0.43]","(0.15, 0.97]",1.0,2017,United Kingdom
"(-0.12, -0.056]","(-0.059, 0.029]","(0.2, 0.43]","(-0.78, -0.14]",1.0,2018,United Kingdom
"(-0.056, 0.043]","(-0.53, -0.13]","(0.2, 0.43]","(-0.78, -0.14]",1.0,2019,United Kingdom
"(-0.056, 0.043]","(-0.53, -0.13]","(0.66, 1.25]","(0.15, 0.97]",1.0,2000,United States
"(0.043, 0.76]","(-0.53, -0.13]","(-0.96, 0.2]","(-0.78, -0.14]",1.0,2001,United States
"(0.043, 0.76]","(-0.53, -0.13]","(0.43, 0.66]","(0.0063, 0.15]",1.0,2002,United States
"(-0.056, 0.043]","(0.029, 0.6]","(0.66, 1.25]","(-0.14, 0.0063]",1.0,2003,United States
"(-0.12, -0.056]","(-0.059, 0.029]","(0.66, 1.25]","(0.15, 0.97]",1.0,2004,United States
"(-0.41000000000000003, -0.12]","(0.029, 0.6]","(0.66, 1.25]","(0.0063, 0.15]",1.0,2005,United States
"(-0.41000000000000003, -0.12]","(0.029, 0.6]","(0.43, 0.66]","(-0.78, -0.14]",1.0,2006,United States
"(0.043, 0.76]","(-0.13, -0.059]","(0.43, 0.66]","(0.15, 0.97]",0.0,2007,United States
"(0.043, 0.76]","(-0.53, -0.13]","(-0.96, 0.2]","(-0.78, -0.14]",0.0,2008,United States
"(0.043, 0.76]","(0.029, 0.6]","(-0.96, 0.2]","(-0.14, 0.0063]",0.0,2009,United States
"(-0.12, -0.056]","(-0.53, -0.13]","(0.43, 0.66]","(-0.14, 0.0063]",0.0,2010,United States
"(-0.41000000000000003, -0.12]","(-0.53, -0.13]","(0.2, 0.43]","(0.15, 0.97]",0.0,2011,United States
"(-0.41000000000000003, -0.12]","(-0.13, -0.059]","(0.2, 0.43]","(-0.78, -0.14]",1.0,2012,United States
"(-0.41000000000000003, -0.12]","(0.029, 0.6]","(0.43, 0.66]","(-0.78, -0.14]",1.0,2013,United States
"(-0.41000000000000003, -0.12]","(-0.13, -0.059]","(0.66, 1.25]","(-0.14, 0.0063]",1.0,2014,United States
"(-0.41000000000000003, -0.12]","(-0.059, 0.029]","(0.43, 0.66]","(-0.78, -0.14]",1.0,2015,United States
"(-0.12, -0.056]","(-0.059, 0.029]","(0.43, 0.66]","(0.15, 0.97]",1.0,2016,United States
"(-0.41000000000000003, -0.12]","(0.029, 0.6]","(0.66, 1.25]","(0.0063, 0.15]",1.0,2017,United States
"(-0.12, -0.056]","(0.029, 0.6]","(0.43, 0.66]","(0.0063, 0.15]",1.0,2018,United States
"(-0.12, -0.056]","(-0.53, -0.13]","(0.43, 0.66]","(-0.14, 0.0063]",1.0,2019,United States
